Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr),Experience
Aaron Dobson,WR,Marshall,75.0,210.0,4.37,,,,,,59,4
Alex Dunnachie,P,Hawaii,75.0,217.0,4.97,,,,,,0,-1
Zac Dysert,QB,Miami (OH),75.0,231.0,4.81,,,,,,234,2
Lavar Edwards,DE,LSU,76.0,277.0,4.8,33.0,,119.0,7.03,4.51,142,5
Mike Edwards,CB,Hawaii,69.0,189.0,4.56,36.0,14.0,124.0,6.94,4.18,99,4
Tyler Eifert,TE,Notre Dame,77.0,250.0,4.68,35.5,22.0,119.0,6.92,4.32,21,8
Matt Elam,S,Florida,70.0,208.0,4.43,35.5,17.0,118.0,,,32,4
Andre Ellington,RB,Clemson,69.0,199.0,4.61,34.0,,122.0,,,187,5
Zach Ertz,TE,Stanford,77.0,249.0,4.76,30.5,24.0,111.0,7.08,4.47,35,10
Gavin Escobar,TE,San Diego State,78.0,254.0,4.84,32.0,,114.0,7.07,4.31,47,5
Josh Evans,S,Florida,73.0,207.0,4.58,34.5,,123.0,6.64,4.1,169,4
Chris Faulk,OT,LSU,77.0,331.0,5.08,,25.0,,,,0,0
Joseph Fauria,TE,UCLA,79.0,259.0,4.82,,17.0,,,,0,3
Eric Fisher,OT,Central Michigan,79.0,306.0,5.05,28.5,27.0,116.0,7.59,4.44,1,10
Sharrif Floyd,DT,Florida,75.0,297.0,4.92,30.0,,106.0,7.4,4.75,23,5
D.J. Fluker,OT,Alabama,77.0,339.0,5.31,,21.0,,,,11,9
Manese Foketi,OG,Texas A&M,77.0,318.0,5.54,23.5,25.0,102.0,8.11,5.06,0,-1
Michael Ford,RB,LSU,69.0,210.0,4.5,38.5,25.0,130.0,6.87,4.25,0,0
Reid Fragel,OT,Ohio State,80.0,308.0,5.14,30.0,33.0,113.0,7.62,4.68,240,2
Johnathan Franklin,RB,UCLA,70.0,205.0,4.49,31.5,18.0,115.0,6.89,4.31,125,0
Travis Frederick,C,Wisconsin,76.0,312.0,5.58,28.5,21.0,97.0,7.81,4.76,31,6
Corey Fuller,WR,Virginia Tech,74.0,204.0,4.43,31.5,12.0,120.0,,,171,4
Matt Furstenburg,TE,Maryland,76.0,242.0,4.62,35.5,18.0,115.0,7.09,4.35,0,0
Rogers Gaines,OT,Tennessee State,78.0,334.0,5.24,23.0,28.0,,,5.24,0,1
Kwame Geathers,DT,Georgia,77.0,342.0,5.44,26.5,,96.0,8.11,5.27,0,2
William Gholston,DE,Michigan State,78.0,281.0,4.96,28.5,23.0,110.0,7.2,4.59,126,10
Garrett Gilkey,OT,Chadron State,78.0,318.0,5.29,30.0,28.0,108.0,7.65,4.75,227,3
Mike Gillislee,RB,Florida,71.0,208.0,4.55,30.5,15.0,119.0,7.12,4.4,164,6
Mike Glennon,QB,North Carolina State,79.0,225.0,4.94,26.5,,102.0,7.49,4.52,73,10
Tyrone Goard,WR,East. Kentucky,76.0,205.0,4.5,36.0,10.0,123.0,6.9,4.39,0,-1
Zaviar Gooden,OLB,Missouri,73.0,234.0,4.47,34.0,27.0,131.0,6.71,4.18,97,3
Malliciah Goodman,DE,Clemson,76.0,276.0,4.87,31.5,26.0,114.0,,,127,5
Marquise Goodwin,WR,Texas,69.0,183.0,4.27,,13.0,132.0,,,78,9
Chris Gragg,TE,Arkansas,75.0,244.0,4.5,37.5,18.0,125.0,7.08,4.51,222,5
Ray Graham,RB,Pittsburgh,69.0,199.0,4.8,32.5,18.0,112.0,7.17,4.21,0,0
Dwayne Gratz,CB,Connecticut,71.0,201.0,4.47,38.0,22.0,125.0,6.7,4.15,64,4
MarQueis Gray,QB,Minnesota,75.0,240.0,4.65,30.0,15.0,111.0,7.25,4.3,0,6
Khaseem Greene,OLB,Rutgers,73.0,241.0,4.71,30.0,17.0,116.0,7.58,4.2,117,3
Cory Grissom,DT,South Florida,73.0,306.0,5.31,27.5,22.0,97.0,7.79,4.81,0,0
Cobi Hamilton,WR,Arkansas,74.0,212.0,4.56,29.5,11.0,107.0,,4.31,197,2
Johnathan Hankins,DT,Ohio State,75.0,320.0,5.31,26.0,,104.0,7.59,4.61,49,10
D.J. Harper,RB,Boise State,69.0,211.0,4.52,33.5,23.0,120.0,7.07,4.35,0,-1
Chris Harper,WR,Kansas State,73.0,229.0,4.55,35.5,20.0,116.0,6.89,4.39,123,2
Montel Harris,RB,Temple,68.0,208.0,4.68,32.5,19.0,113.0,6.95,4.18,0,-1
Mark Harrison,WR,Rutgers,75.0,231.0,4.46,38.5,17.0,129.0,6.99,4.33,0,0
Tanner Hawkinson,OT,Kansas,77.0,298.0,5.07,28.5,,112.0,7.52,4.51,156,2
Terry Hawthorne,CB,Illinois,72.0,195.0,4.44,35.5,13.0,116.0,,,150,-1
D.J. Hayden,CB,Houston,71.0,191.0,4.4,,,,,,12,9
Brandon Hepburn,ILB,Florida A&M,74.0,240.0,4.68,32.0,21.0,124.0,7.4,4.55,245,1
Eric Herman,OG,Ohio,76.0,320.0,5.25,28.0,36.0,95.0,7.99,5.09,225,2
Aaron Hester,CB,UCLA,74.0,198.0,4.62,29.0,,112.0,7.26,4.33,0,0
Jordan Hill,DT,Penn State,73.0,303.0,5.23,22.5,28.0,103.0,7.49,4.51,87,5
Gerald Hodges,OLB,Penn State,73.0,243.0,4.78,,22.0,119.0,,,120,6
DeVonte Holloman,OLB,South Carolina,73.0,243.0,4.76,33.0,15.0,113.0,7.3,4.26,185,2
Khaled Holmes,C,USC,75.0,302.0,5.29,,13.0,,,,121,3
DeAndre Hopkins,WR,Clemson,73.0,214.0,4.57,36.0,15.0,115.0,,4.5,27,9
Dustin Hopkins,K,Florida State,74.0,193.0,4.74,33.5,,116.0,,,177,9
Josh Hubner,P,Arizona State,76.0,232.0,5.06,,13.0,,,,0,-1
Montori Hughes,DT,Tennessee-Martin,76.0,329.0,5.23,26.5,22.0,104.0,7.85,4.7,139,4
Margus Hunt,DE,SMU,80.0,277.0,4.62,34.5,38.0,121.0,7.07,4.51,53,9
Justin Hunter,WR,Tennessee,76.0,196.0,4.44,39.5,,136.0,,4.33,34,6
Micah Hyde,CB,Iowa,72.0,197.0,4.56,33.0,12.0,121.0,6.78,4.2,159,10
Luke Ingram,LS,Hawaii,77.0,258.0,5.05,,24.0,106.0,,,0,-1
Mark Jackson,OG,Glenville State,77.0,328.0,5.65,20.5,20.0,91.0,8.07,5.03,0,1
